date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:44:12	132485/132485	---M-Z	200	added ('OK')	text/css	etag:%2220585-62e2aecc-0;gz%22	https://danielbiller.com/wp-content/themes/perfect-portfolio/style.css?ver=1.1.9	C:/My%20Web%20Sites/Portfolio%20Site%20Backup/danielbiller.com/wp-content/themes/perfect-portfolio/stylec5c9.css	(from https://danielbiller.com/)
21:44:12	89521/89521	---M-Z	200	added ('OK')	application/x-javascript	etag:%2215db1-60497454-0;gz%22	https://danielbiller.com/wp-includes/js/jquery/jquery.min.js?ver=3.6.0	C:/My%20Web%20Sites/Portfolio%20Site%20Backup/danielbiller.com/wp-includes/js/jquery/jquery.minaf6c.js	(from https://danielbiller.com/)
21:44:12	11224/11224	---M-Z	200	added ('OK')	application/x-javascript	etag:%222bd8-5fb577a6-0;gz%22	https://danielbiller.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	C:/My%20Web%20Sites/Portfolio%20Site%20Backup/danielbiller.com/wp-includes/js/jquery/jquery-migrate.mind617.js	(from https://danielbiller.com/)
21:44:13	1374/1374	---M--	200	added ('OK')	application/json	etag:%2218-1661132653;;;%22	https://danielbiller.com/index.php?rest_route=/wp/v2/pages/564	C:/My%20Web%20Sites/Portfolio%20Site%20Backup/danielbiller.com/index1edb.json	(from https://danielbiller.com/)
21:44:14	824/824	---M-Z	200	added ('OK')	text/xml	date:Mon,%2022%20Aug%202022%2001:44:13%20GMT	https://danielbiller.com/xmlrpc.php?rsd	C:/My%20Web%20Sites/Portfolio%20Site%20Backup/danielbiller.com/xmlrpc0db0.php	(from https://danielbiller.com/)
21:44:14	186046/186046	---MC-	200	added ('OK')	application/json	etag:%2217-1661132653;;;%22	https://danielbiller.com/index.php?rest_route=/	C:/My%20Web%20Sites/Portfolio%20Site%20Backup/danielbiller.com/index52f0.json	(from https://danielbiller.com/)
21:44:14	1045/1045	---M-Z	200	added ('OK')	application/xml	etag:%22415-52a95560-0;gz%22	https://danielbiller.com/wp-includes/wlwmanifest.xml	C:/My%20Web%20Sites/Portfolio%20Site%20Backup/danielbiller.com/wp-includes/wlwmanifest.xml	(from https://danielbiller.com/)
21:44:14	2376/2376	---M--	200	added ('OK')	application/json	etag:%2219-1661132654;;;%22	https://danielbiller.com/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=https%3A%2F%2Fdanielbiller.com%2F	C:/My%20Web%20Sites/Portfolio%20Site%20Backup/danielbiller.com/indexa9e4.json	(from https://danielbiller.com/)
21:44:14	2441/2441	---M-Z	200	added ('OK')	text/xml	etag:%2220-1661132654;gz%22	https://danielbiller.com/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=https%3A%2F%2Fdanielbiller.com%2F&format=xml	C:/My%20Web%20Sites/Portfolio%20Site%20Backup/danielbiller.com/index5650.php	(from https://danielbiller.com/)
21:44:14	848/848	---M--	200	added ('OK')	image/png	etag:%22350-5f6fd651-0;;;%22	https://danielbiller.com/wp-content/uploads/2020/09/transLogo-1-60x60.png	C:/My%20Web%20Sites/Portfolio%20Site%20Backup/danielbiller.com/wp-content/uploads/2020/09/transLogo-1-60x60.png	(from https://danielbiller.com/)
21:44:15	4747/4747	---M--	200	added ('OK')	image/png	etag:%22128b-5f6fd651-0;;;%22	https://danielbiller.com/wp-content/uploads/2020/09/transLogo-1-300x300.png	C:/My%20Web%20Sites/Portfolio%20Site%20Backup/danielbiller.com/wp-content/uploads/2020/09/transLogo-1-300x300.png	(from https://danielbiller.com/)
21:44:15	2229/2229	---M--	200	added ('OK')	image/png	etag:%228b5-5f6fd46a-0;;;%22	https://danielbiller.com/wp-content/uploads/2020/09/transLogo-e1601164394933.png	C:/My%20Web%20Sites/Portfolio%20Site%20Backup/danielbiller.com/wp-content/uploads/2020/09/transLogo-e1601164394933.png	(from https://danielbiller.com/)
21:44:16	162919/162919	---M--	200	added ('OK')	image/jpeg	etag:%2227c67-5f6e6464-0;;;%22	https://danielbiller.com/wp-content/uploads/2020/09/IMG_6541-1-scaled-e1601070180997.jpg	C:/My%20Web%20Sites/Portfolio%20Site%20Backup/danielbiller.com/wp-content/uploads/2020/09/IMG_6541-1-scaled-e1601070180997.jpg	(from https://danielbiller.com/)
21:44:17	269447/269447	---M--	200	added ('OK')	image/gif	etag:%2241c87-5f6ffeca-0;;;%22	https://danielbiller.com/wp-content/uploads/2020/09/ezgif.com-resize-2.gif	C:/My%20Web%20Sites/Portfolio%20Site%20Backup/danielbiller.com/wp-content/uploads/2020/09/ezgif.com-resize-2.gif	(from https://danielbiller.com/)
21:44:17	156626/156626	---M--	200	added ('OK')	image/png	etag:%22263d2-5f6ffd04-0;;;%22	https://danielbiller.com/wp-content/uploads/2020/09/Virtual-Mem-Icon-e1601174788681.png	C:/My%20Web%20Sites/Portfolio%20Site%20Backup/danielbiller.com/wp-content/uploads/2020/09/Virtual-Mem-Icon-e1601174788681.png	(from https://danielbiller.com/)
21:44:17	34460/34460	---M-Z	200	added ('OK')	text/html	etag:%2222-1661132656;gz%22	https://danielbiller.com/?page_id=23	C:/My%20Web%20Sites/Portfolio%20Site%20Backup/danielbiller.com/index32ec.html	(from https://danielbiller.com/)
21:44:17	35405/35405	---M-Z	200	added ('OK')	text/html	etag:%2221-1661132656;gz%22	https://danielbiller.com/?page_id=511	C:/My%20Web%20Sites/Portfolio%20Site%20Backup/danielbiller.com/index5b02.html	(from https://danielbiller.com/)
21:44:17	34245/34245	---M-Z	200	added ('OK')	text/html	etag:%2223-1661132657;gz%22	https://danielbiller.com/?page_id=132	C:/My%20Web%20Sites/Portfolio%20Site%20Backup/danielbiller.com/index7e09.html	(from https://danielbiller.com/)
21:44:17	6475/6475	---M-Z	200	added ('OK')	application/x-javascript	etag:%22194b-62549ee6-0;gz%22	https://danielbiller.com/wp-includes/js/dist/vendor/regenerator-runtime.min.js?ver=0.13.9	C:/My%20Web%20Sites/Portfolio%20Site%20Backup/danielbiller.com/wp-includes/js/dist/vendor/regenerator-runtime.min3937.js	(from https://danielbiller.com/)
21:44:17	19142/19142	---M-Z	200	added ('OK')	application/x-javascript	etag:%224ac6-62549ee6-0;gz%22	https://danielbiller.com/wp-includes/js/dist/vendor/wp-polyfill.min.js?ver=3.15.0	C:/My%20Web%20Sites/Portfolio%20Site%20Backup/danielbiller.com/wp-includes/js/dist/vendor/wp-polyfill.min2c7c.js	(from https://danielbiller.com/)
21:44:17	44163/44163	---M-Z	200	added ('OK')	text/html	etag:%2224-1661132657;gz%22	https://danielbiller.com/?rara-portfolio=particle-simulation	C:/My%20Web%20Sites/Portfolio%20Site%20Backup/danielbiller.com/indexc60c.html	(from https://danielbiller.com/)
21:44:17	21905/21905	---M-Z	200	added ('OK')	application/x-javascript	etag:%225591-62f3a7e0-0;gz%22	https://danielbiller.com/wp-content/plugins/contact-form-7/includes/js/index.js?ver=5.6.2	C:/My%20Web%20Sites/Portfolio%20Site%20Backup/danielbiller.com/wp-content/plugins/contact-form-7/includes/js/index4c7e.js	(from https://danielbiller.com/)
21:44:18	35514/35514	---M-Z	200	added ('OK')	application/x-javascript	etag:%228aba-62838b0e-0;gz%22	https://danielbiller.com/wp-content/plugins/raratheme-companion/public/js/isotope.pkgd.min.js?ver=3.0.5	C:/My%20Web%20Sites/Portfolio%20Site%20Backup/danielbiller.com/wp-content/plugins/raratheme-companion/public/js/isotope.pkgd.min8d18.js	(from https://danielbiller.com/)
21:44:18	34557/34557	---M-Z	200	added ('OK')	text/html	etag:%2212-1660628282;gz%22	https://danielbiller.com/?rara_portfolio_categories=pro-exp	C:/My%20Web%20Sites/Portfolio%20Site%20Backup/danielbiller.com/indexd831.html	(from https://danielbiller.com/)
21:44:18	5629/5629	---M-Z	200	added ('OK')	application/x-javascript	etag:%2215fd-5ee5a640-0;gz%22	https://danielbiller.com/wp-includes/js/imagesloaded.min.js?ver=4.1.4	C:/My%20Web%20Sites/Portfolio%20Site%20Backup/danielbiller.com/wp-includes/js/imagesloaded.mineda1.js	(from https://danielbiller.com/)
21:44:18	24138/24138	---M-Z	200	added ('OK')	application/x-javascript	etag:%225e4a-5ee5a640-0;gz%22	https://danielbiller.com/wp-includes/js/masonry.min.js?ver=4.2.2	C:/My%20Web%20Sites/Portfolio%20Site%20Backup/danielbiller.com/wp-includes/js/masonry.min3a05.js	(from https://danielbiller.com/)
21:44:18	1516/1516	---M-Z	200	added ('OK')	application/x-javascript	etag:%225ec-62838b0e-0;gz%22	https://danielbiller.com/wp-content/plugins/raratheme-companion/public/js/raratheme-companion-public.min.js?ver=1.4.0	C:/My%20Web%20Sites/Portfolio%20Site%20Backup/danielbiller.com/wp-content/plugins/raratheme-companion/public/js/raratheme-companion-public.min2fca.js	(from https://danielbiller.com/)
21:44:19	26153/26153	---M-Z	200	added ('OK')	application/x-javascript	etag:%226629-62838b0e-0;gz%22	https://danielbiller.com/wp-content/plugins/raratheme-companion/public/js/fontawesome/v4-shims.min.js?ver=6.1.1	C:/My%20Web%20Sites/Portfolio%20Site%20Backup/danielbiller.com/wp-content/plugins/raratheme-companion/public/js/fontawesome/v4-shims.min6a4d.js	(from https://danielbiller.com/)
21:44:19	36373/36373	---M-Z	200	added ('OK')	text/html	etag:%2225-1661132659;gz%22	https://danielbiller.com/?rara_portfolio_categories=software	C:/My%20Web%20Sites/Portfolio%20Site%20Backup/danielbiller.com/indexa9d5.html	(from https://danielbiller.com/)
21:44:19	51854/51854	---M-Z	200	added ('OK')	application/x-javascript	etag:%22ca8e-5f355614-0;gz%22	https://danielbiller.com/wp-content/themes/perfect-portfolio/js/owl.carousel.min.js?ver=2.2.1	C:/My%20Web%20Sites/Portfolio%20Site%20Backup/danielbiller.com/wp-content/themes/perfect-portfolio/js/owl.carousel.min77e6.js	(from https://danielbiller.com/)
21:44:19	25751/25751	---M-Z	200	added ('OK')	application/x-javascript	etag:%226497-5f355614-0;gz%22	https://danielbiller.com/wp-content/themes/perfect-portfolio/js/perfect-scrollbar.min.js?ver=1.3.0	C:/My%20Web%20Sites/Portfolio%20Site%20Backup/danielbiller.com/wp-content/themes/perfect-portfolio/js/perfect-scrollbar.min6f3e.js	(from https://danielbiller.com/)
21:44:20	6307/6307	---M-Z	200	added ('OK')	application/x-javascript	etag:%2218a3-62e2aecc-0;gz%22	https://danielbiller.com/wp-content/themes/perfect-portfolio/js/modal-accessibility.min.js?ver=1.1.9	C:/My%20Web%20Sites/Portfolio%20Site%20Backup/danielbiller.com/wp-content/themes/perfect-portfolio/js/modal-accessibility.minc5c9.js	(from https://danielbiller.com/)
21:44:20	1726697/1726697	---M-Z	200	added ('OK')	application/x-javascript	etag:%221a58e9-62838b0e-0;gz%22	https://danielbiller.com/wp-content/plugins/raratheme-companion/public/js/fontawesome/all.min.js?ver=6.1.1	C:/My%20Web%20Sites/Portfolio%20Site%20Backup/danielbiller.com/wp-content/plugins/raratheme-companion/public/js/fontawesome/all.min6a4d.js	(from https://danielbiller.com/)
21:44:20	3429/3429	---M-Z	200	added ('OK')	application/x-javascript	etag:%22d65-62e2aecc-0;gz%22	https://danielbiller.com/wp-content/themes/perfect-portfolio/js/custom.min.js?ver=1.1.9	C:/My%20Web%20Sites/Portfolio%20Site%20Backup/danielbiller.com/wp-content/themes/perfect-portfolio/js/custom.minc5c9.js	(from https://danielbiller.com/)
21:44:20	40552/40552	---M-Z	200	added ('OK')	text/html	etag:%2226-1661132660;gz%22	https://danielbiller.com/?rara-portfolio=virtual-memory-simulator	C:/My%20Web%20Sites/Portfolio%20Site%20Backup/danielbiller.com/indexb4ec.html	(from https://danielbiller.com/)
21:44:20	34222/34222	---M-Z	200	added ('OK')	text/html	etag:%2227-1661132660;gz%22	https://danielbiller.com/?rara_portfolio_categories=hardware	C:/My%20Web%20Sites/Portfolio%20Site%20Backup/danielbiller.com/index6916.html	(from https://danielbiller.com/)
21:44:20	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2022%20Aug%202022%2001:44:20%20GMT	https://danielbiller.com/wp-content/themes/perfect-portfolio/css/owl.video.play.png	C:/My%20Web%20Sites/Portfolio%20Site%20Backup/danielbiller.com/wp-content/themes/perfect-portfolio/css/owl.video.play.png	(from https://danielbiller.com/wp-content/themes/perfect-portfolio/css/owl.carousel.min.css?ver=2.2.1)
21:44:21	413/413	---M-Z	200	added ('OK')	image/svg+xml	etag:%2219d-5f355614-0;gz%22	https://danielbiller.com/wp-content/themes/perfect-portfolio/images/search-icon.svg	C:/My%20Web%20Sites/Portfolio%20Site%20Backup/danielbiller.com/wp-content/themes/perfect-portfolio/images/search-icon.svg	(from https://danielbiller.com/wp-content/themes/perfect-portfolio/style.css?ver=1.1.9)
21:44:21	3779/3779	---M--	200	added ('OK')	application/json	etag:%2228-1661132661;;;%22	https://danielbiller.com/index.php?rest_route=/wp/v2/pages/23	C:/My%20Web%20Sites/Portfolio%20Site%20Backup/danielbiller.com/indexe035.json	(from https://danielbiller.com/?page_id=23)
21:44:21	2457/2457	---M--	200	added ('OK')	application/json	etag:%2229-1661132661;;;%22	https://danielbiller.com/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=https%3A%2F%2Fdanielbiller.com%2F%3Fpage_id%3D23	C:/My%20Web%20Sites/Portfolio%20Site%20Backup/danielbiller.com/index9a04.json	(from https://danielbiller.com/?page_id=23)
21:44:22	2527/2527	---M-Z	200	added ('OK')	text/xml	etag:%2230-1661132661;gz%22	https://danielbiller.com/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=https%3A%2F%2Fdanielbiller.com%2F%3Fpage_id%3D23&format=xml	C:/My%20Web%20Sites/Portfolio%20Site%20Backup/danielbiller.com/index146c.php	(from https://danielbiller.com/?page_id=23)
21:44:22	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2022%20Aug%202022%2001:44:22%20GMT	https://danielbiller.com/?p=23	C:/My%20Web%20Sites/Portfolio%20Site%20Backup/danielbiller.com/index40a0.html	(from https://danielbiller.com/?page_id=23)
21:44:22	76577/76577	---M--	200	added ('OK')	image/jpeg	etag:%2212b21-5f6f803f-0;;;%22	https://danielbiller.com/wp-content/uploads/2020/09/IMG_6541-2-scaled-e1601142846961-657x1024.jpg	C:/My%20Web%20Sites/Portfolio%20Site%20Backup/danielbiller.com/wp-content/uploads/2020/09/IMG_6541-2-scaled-e1601142846961-657x1024.jpg	(from https://danielbiller.com/?page_id=23)
21:44:22	1552/1552	---M--	200	added ('OK')	application/json	etag:%2231-1661132662;;;%22	https://danielbiller.com/index.php?rest_route=/wp/v2/pages/511	C:/My%20Web%20Sites/Portfolio%20Site%20Backup/danielbiller.com/indexef38.json	(from https://danielbiller.com/?page_id=511)
21:44:22	2420/2420	---M--	200	added ('OK')	application/json	etag:%2232-1661132662;;;%22	https://danielbiller.com/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=https%3A%2F%2Fdanielbiller.com%2F%3Fpage_id%3D511	C:/My%20Web%20Sites/Portfolio%20Site%20Backup/danielbiller.com/indexe795.json	(from https://danielbiller.com/?page_id=511)
21:44:22	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2022%20Aug%202022%2001:44:22%20GMT	https://danielbiller.com/?p=511	C:/My%20Web%20Sites/Portfolio%20Site%20Backup/danielbiller.com/index8e0b.html	(from https://danielbiller.com/?page_id=511)
21:44:23	2484/2484	---M-Z	200	added ('OK')	text/xml	etag:%2233-1661132663;gz%22	https://danielbiller.com/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=https%3A%2F%2Fdanielbiller.com%2F%3Fpage_id%3D511&format=xml	C:/My%20Web%20Sites/Portfolio%20Site%20Backup/danielbiller.com/index89bd.php	(from https://danielbiller.com/?page_id=511)
21:44:23	2182/2182	---M--	200	added ('OK')	application/json	etag:%2234-1661132663;;;%22	https://danielbiller.com/index.php?rest_route=/wp/v2/pages/132	C:/My%20Web%20Sites/Portfolio%20Site%20Backup/danielbiller.com/index766d.json	(from https://danielbiller.com/?page_id=132)
21:44:23	2414/2414	---M--	200	added ('OK')	application/json	etag:%2235-1661132663;;;%22	https://danielbiller.com/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=https%3A%2F%2Fdanielbiller.com%2F%3Fpage_id%3D132	C:/My%20Web%20Sites/Portfolio%20Site%20Backup/danielbiller.com/index2cb3.json	(from https://danielbiller.com/?page_id=132)
21:44:23	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2022%20Aug%202022%2001:44:23%20GMT	https://danielbiller.com/?p=132	C:/My%20Web%20Sites/Portfolio%20Site%20Backup/danielbiller.com/index31a3.html	(from https://danielbiller.com/?page_id=132)
21:44:24	2478/2478	---M-Z	200	added ('OK')	text/xml	etag:%2236-1661132664;gz%22	https://danielbiller.com/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=https%3A%2F%2Fdanielbiller.com%2F%3Fpage_id%3D132&format=xml	C:/My%20Web%20Sites/Portfolio%20Site%20Backup/danielbiller.com/indexf01e.php	(from https://danielbiller.com/?page_id=132)
21:44:24	10321/10321	---MC-	200	added ('OK')	application/json	etag:%2237-1661132664;;;%22	https://danielbiller.com/index.php?rest_route=/wp/v2/rara-portfolio/609	C:/My%20Web%20Sites/Portfolio%20Site%20Backup/danielbiller.com/index17d4.json	(from https://danielbiller.com/?rara-portfolio=particle-simulation)
21:44:24	2376/2376	---M--	200	added ('OK')	application/json	etag:%2238-1661132664;;;%22	https://danielbiller.com/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=https%3A%2F%2Fdanielbiller.com%2F%3Frara-portfolio%3Dparticle-simulation	C:/My%20Web%20Sites/Portfolio%20Site%20Backup/danielbiller.com/index6c61.json	(from https://danielbiller.com/?rara-portfolio=particle-simulation)
21:44:25	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2022%20Aug%202022%2001:44:24%20GMT	https://danielbiller.com/?p=609	C:/My%20Web%20Sites/Portfolio%20Site%20Backup/danielbiller.com/index93f8.html	(from https://danielbiller.com/?rara-portfolio=particle-simulation)
21:44:25	2441/2441	---M-Z	200	added ('OK')	text/xml	etag:%2239-1661132665;gz%22	https://danielbiller.com/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=https%3A%2F%2Fdanielbiller.com%2F%3Frara-portfolio%3Dparticle-simulation&format=xml	C:/My%20Web%20Sites/Portfolio%20Site%20Backup/danielbiller.com/indexc167.php	(from https://danielbiller.com/?rara-portfolio=particle-simulation)
21:44:25	40247/40247	---M--	200	added ('OK')	image/png	etag:%229d37-5f6fd00e-0;;;%22	https://danielbiller.com/wp-content/uploads/2020/09/EnergyGraph.png	C:/My%20Web%20Sites/Portfolio%20Site%20Backup/danielbiller.com/wp-content/uploads/2020/09/EnergyGraph.png	(from https://danielbiller.com/?rara-portfolio=particle-simulation)
21:44:26	30014/30014	---M--	200	added ('OK')	image/png	etag:%22753e-5f6fcebe-0;;;%22	https://danielbiller.com/wp-content/uploads/2020/09/1.png	C:/My%20Web%20Sites/Portfolio%20Site%20Backup/danielbiller.com/wp-content/uploads/2020/09/1.png	(from https://danielbiller.com/?rara-portfolio=particle-simulation)
21:44:26	32188/32188	---M--	200	added ('OK')	image/png	etag:%227dbc-5f6fcec7-0;;;%22	https://danielbiller.com/wp-content/uploads/2020/09/1250.png	C:/My%20Web%20Sites/Portfolio%20Site%20Backup/danielbiller.com/wp-content/uploads/2020/09/1250.png	(from https://danielbiller.com/?rara-portfolio=particle-simulation)
21:44:27	118815/118815	---M--	200	added ('OK')	image/png	etag:%221d01f-5f6fcd19-0;;;%22	https://danielbiller.com/wp-content/uploads/2020/09/particle-search-1-1024x887.png	C:/My%20Web%20Sites/Portfolio%20Site%20Backup/danielbiller.com/wp-content/uploads/2020/09/particle-search-1-1024x887.png	(from https://danielbiller.com/?rara-portfolio=particle-simulation)
21:44:27	267708/267708	---M--	200	added ('OK')	image/png	etag:%22415bc-5f6fcf10-0;;;%22	https://danielbiller.com/wp-content/uploads/2020/09/Sudocode-1024x941.png	C:/My%20Web%20Sites/Portfolio%20Site%20Backup/danielbiller.com/wp-content/uploads/2020/09/Sudocode-1024x941.png	(from https://danielbiller.com/?rara-portfolio=particle-simulation)
21:44:27	70246/70246	---M--	200	added ('OK')	image/png	etag:%2211266-5f6ff742-0;;;%22	https://danielbiller.com/wp-content/uploads/2020/09/Virtual-Mem-Icon-367x252.png	C:/My%20Web%20Sites/Portfolio%20Site%20Backup/danielbiller.com/wp-content/uploads/2020/09/Virtual-Mem-Icon-367x252.png	(from https://danielbiller.com/?rara-portfolio=particle-simulation)
21:44:27	1168728/1168728	---M--	200	added ('OK')	image/gif	etag:%2211d558-5f6fe9cd-0;;;%22	https://danielbiller.com/wp-content/uploads/2020/09/ezgif.com-gif-maker-3.gif	C:/My%20Web%20Sites/Portfolio%20Site%20Backup/danielbiller.com/wp-content/uploads/2020/09/ezgif.com-gif-maker-3.gif	(from https://danielbiller.com/?rara-portfolio=particle-simulation)
21:44:27	776/776	---M--	200	added ('OK')	application/json	etag:%2240-1661132667;;;%22	https://danielbiller.com/index.php?rest_route=/wp/v2/rara_portfolio_categories/9	C:/My%20Web%20Sites/Portfolio%20Site%20Backup/danielbiller.com/index84f6.json	(from https://danielbiller.com/?rara_portfolio_categories=pro-exp)
21:44:27	9814/9814	---MCZ	200	added ('OK')	application/rss+xml	etag:%22f9725fa40fac9625bbca9a7ee027154e%22	https://danielbiller.com/?feed=rss2&rara_portfolio_categories=pro-exp	C:/My%20Web%20Sites/Portfolio%20Site%20Backup/danielbiller.com/indexeeca.html	(from https://danielbiller.com/?rara_portfolio_categories=pro-exp)
21:44:28	763/763	---M--	200	added ('OK')	application/json	etag:%2241-1661132668;;;%22	https://danielbiller.com/index.php?rest_route=/wp/v2/rara_portfolio_categories/7	C:/My%20Web%20Sites/Portfolio%20Site%20Backup/danielbiller.com/indexeb00.json	(from https://danielbiller.com/?rara_portfolio_categories=software)
21:44:28	612011/612011	---M--	200	added ('OK')	image/gif	etag:%22956ab-5f6fe754-0;;;%22	https://danielbiller.com/wp-content/uploads/2020/09/ezgif.com-gif-maker-2.gif	C:/My%20Web%20Sites/Portfolio%20Site%20Backup/danielbiller.com/wp-content/uploads/2020/09/ezgif.com-gif-maker-2.gif	(from https://danielbiller.com/?rara-portfolio=particle-simulation)
21:44:28	16390/16390	---MCZ	200	added ('OK')	application/rss+xml	etag:%22f9725fa40fac9625bbca9a7ee027154e%22	https://danielbiller.com/?feed=rss2&rara_portfolio_categories=software	C:/My%20Web%20Sites/Portfolio%20Site%20Backup/danielbiller.com/index8467.html	(from https://danielbiller.com/?rara_portfolio_categories=software)
21:44:28	8204/8204	---M--	200	added ('OK')	application/json	etag:%2242-1661132668;;;%22	https://danielbiller.com/index.php?rest_route=/wp/v2/rara-portfolio/643	C:/My%20Web%20Sites/Portfolio%20Site%20Backup/danielbiller.com/indexb209.json	(from https://danielbiller.com/?rara-portfolio=virtual-memory-simulator)
21:44:29	2376/2376	---M--	200	added ('OK')	application/json	etag:%2243-1661132668;;;%22	https://danielbiller.com/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=https%3A%2F%2Fdanielbiller.com%2F%3Frara-portfolio%3Dvirtual-memory-simulator	C:/My%20Web%20Sites/Portfolio%20Site%20Backup/danielbiller.com/index2196.json	(from https://danielbiller.com/?rara-portfolio=virtual-memory-simulator)
21:44:29	216526/216526	---M--	200	added ('OK')	image/png	etag:%2234dce-5f6ff743-0;;;%22	https://danielbiller.com/wp-content/uploads/2020/09/Virtual-Mem-Icon-768x726.png	C:/My%20Web%20Sites/Portfolio%20Site%20Backup/danielbiller.com/wp-content/uploads/2020/09/Virtual-Mem-Icon-768x726.png	(from https://danielbiller.com/?rara_portfolio_categories=software)
21:44:29	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2022%20Aug%202022%2001:44:29%20GMT	https://danielbiller.com/?p=643	C:/My%20Web%20Sites/Portfolio%20Site%20Backup/danielbiller.com/indexb0f8.html	(from https://danielbiller.com/?rara-portfolio=virtual-memory-simulator)
